MISSING DATA AT FF STATIONS:,Montalban (KIAT)(95)
obscd,obsnm,timestr,rf,rfday
11103105,Bagong Nayon,2021-04-09 04:20,0.0,0.0
11103105,Bagong Nayon,2021-04-09 04:10,0.0,0.0
11103105,Bagong Nayon,2021-04-09 04:00,0.0,0.0
11103105,Bagong Nayon,2021-04-09 03:50,0.0,0.0
11103105,Bagong Nayon,2021-04-09 03:40,0.0,0.0
11103105,Bagong Nayon,2021-04-09 03:30,0.0,0.0
11103105,Bagong Nayon,2021-04-09 03:20,0.0,0.0
11103105,Bagong Nayon,2021-04-09 03:10,0.0,0.0
11103105,Bagong Nayon,2021-04-09 03:00,0.0,0.0
11103105,Bagong Nayon,2021-04-09 02:50,0.0,0.0
11103105,Bagong Nayon,2021-04-09 02:40,0.0,0.0
11103105,Bagong Nayon,2021-04-09 02:30,0.0,0.0
11103105,Bagong Nayon,2021-04-09 02:20,0.0,0.0
11103105,Bagong Nayon,2021-04-09 02:10,0.0,0.0
11103105,Bagong Nayon,2021-04-09 02:00,0.0,0.0
11103105,Bagong Nayon,2021-04-09 01:50,0.0,0.0
11103105,Bagong Nayon,2021-04-09 01:40,0.0,0.0
11103105,Bagong Nayon,2021-04-09 01:30,0.0,0.0
11103105,Bagong Nayon,2021-04-09 01:20,0.0,0.0
11103105,Bagong Nayon,2021-04-09 01:10,0.0,0.0
11103105,Bagong Nayon,2021-04-09 01:00,0.0,0.0
11103105,Bagong Nayon,2021-04-09 00:50,0.0,0.0
11103105,Bagong Nayon,2021-04-09 00:40,0.0,0.0
11103105,Bagong Nayon,2021-04-09 00:30,0.0,0.0
11103105,Bagong Nayon,2021-04-09 00:20,0.0,0.0
11103105,Bagong Nayon,2021-04-09 00:10,0.0,0.0
11103105,Bagong Nayon,2021-04-09 00:00,0.0,0.0
11103103,Boso Boso,2021-04-09 23:50,0.0,0.0
11103103,Boso Boso,2021-04-09 23:40,0.0,0.0
11103103,Boso Boso,2021-04-09 23:30,0.0,0.0
11103103,Boso Boso,2021-04-09 23:20,0.0,0.0
11103103,Boso Boso,2021-04-09 23:10,0.0,0.0
